signum,revisionID,translitterering,normalisering,translation,Latitude,Longitude,Stil,Inscriber,Material,Period_begin,Period_end,edition
Södermanlands runinskrifter 182,55843113,...- : sun : sin : uikik · h(a)... ...,... sun sinn Viking. Ha[nn] ...,... sin son Viking. Han ...,59.25428,17.18293,,,,793,1066,0
Södermanlands runinskrifter 183,53823728,: sibi : auk : rusia : auk : krifi : þiʀ : raistu : stin : þansa : at : sluru : faþur : sin,"Sibbi ok ʀysia ok '''''krifi''''' þæiʀ ræistu stæin þennsa at Sloru()/Slyðru(), faður sinn.","Sibbe och Rysja och ""krifi"" de reste denna sten efter Slora, sin fader.'''",59.27494,17.22858,,,,793,1066,0
Södermanlands runinskrifter 184,29799299,hermuþr : lit : raisa × stain : þinsa × at × al + bruþur × sin : kuþan × kuþ hialbi anta + hans,"Hærmoðr let ræisa stæin þennsa at Hall(), broður sinn goðan. Guð hialpi anda hans.","Härmod lät resa denna sten efter Hall(), sin gode broder. Gud hjälpe hans ande.",59.26151,17.16739,KB,,runsten,793,1066,0
Södermanlands runinskrifter 187,33919405,× þaiʀ þurþr × auk × bruni × auk × tiþkumi × letu × raisa × stin × þensa × aftiʀ × syiþbalka × faþur × sin × kuþ × hialbi × isolu × hans ×,"Þæiʀ Þorðr ok Bruni ok Tiðkumi letu ræisa stæin þennsa æftiʀ Sviðbalka, faður sinn. Guð hialpi sialu hans!","Tord och Brune och Tidkume läto resa denna sten efter Svedbalke, sin fader. Gud hjälpe hans själ!",59.31542,17.21591,pr2,Balle,runsten,793,1066,0
Södermanlands runinskrifter 188,56045875,þurui : lit : kira : mirki : þitsa : at : morþa : auk : kuni : auk : halftan : a(u)(k) : hilguflr : at : boþur : sin,"Þyrvi let gærva mærki þetsa at Morða, ok Gunni ok Halfdan ok Hælgulfʀ() at broður sinn.","Tyrvi lät göra detta minnesmärke efter Morde, och Gunne och Halvdan och Hälgulv() efter sin broder.",59.35227,17.18674,,,,793,1066,0
Södermanlands runinskrifter 189,42669417,-(o)nasi · resti · sta : at : ulef · skaka · faþur · si · aka(b)a(r) · biy^k,"Onæisi() ræisti stæin at Olæif Skakka/Skaga, faður sinn <akabar> byggi().","Onese reste stenen efter Olev den snede, sin fader...",59.35255,17.18617,,,runsten,500,1050,0
Södermanlands runinskrifter 198,48744760,siriþ · lit · resa · stan · [þin](a) [·] (a)(t) · suen · sin · [b]unta · h[n] · uft · siklt · til · simk(a)(l)(a) · t(u)ru[m] · knari · um · tumisnis,"Sigrið let ræisa stæin þenna at Svæin, sinn bonda. Hann oft siglt til Sæimgala, dyrum knærri, um Domisnæs.","Sigrid lät resa stenen efter Sven, sin make. Han ofta seglat till Semgallen med dyrbar knarr kring Domesnäs.",0.0,0.0,,,,0,1500,0
Södermanlands runinskrifter 199,56042288,--... ...stain ... ...str ' þair · litu · hakua ' stin ' þina ' (a)... ...,... ...stæinn ... ...[fa]str() þæiʀ letu haggva stæin þenna a[t] ...,...-sten ... -fast() de lät hugga denna sten efter ...,59.39178,17.25148,,,,793,1066,0
Södermanlands runinskrifter 200,54586620,[þroti ·] (a)[u](k) · rulef · auk · ystin · auk · nasi · auk · glaki · (þ)iʀ · ristu · stin · þtina · at · ars(t)[in · faþur sin],"Þrotti ok ʀollæifʀ ok Øystæinn ok Nasi/Næsi ok Glæggi, þæiʀ ræistu stæin þenna at Arnstæin, faður sinn.","Trotte och Rolv och Östen och Nase och Glägge, de reste denna sten efter Arnsten, sin fader",59.39029,17.18789,,"Samma som gjort Södermanlands runinskrifter 198,Sö 198, Södermanlands runinskrifter 207,Sö 207, Upplands runinskrifter 792,U 792. Balle",,793,1066,0
Södermanlands runinskrifter 202,50367505,: þurbyrna : resti : s(t)(a)i[n] --(n)a : yti : usbaka : faþur : sen ai ×× ati (k)(u)la:hui ×,"Þorbiorn ræisti stæin [þe]nna æftiʀ Ospaka, faður senn. Hann atti Kulhaug().","Torbjörn reste denna sten efter Ospake, sin fader. Han ägde...",59.36973,17.19588,Fp,"Lista över #Ä,Äskil , Äsger  [Källström 2007b]",,793,1066,0
Södermanlands runinskrifter 203,50368660,' byorn ' auk · kerþar ' litu ' rasa ' stan ' þina ' at ' bryþr · sena · uikik ' auk · sigfast ' bali · risti ',Biorn ok Gærðarr letu ræisa stæin þenna at brøðr sina Viking ok Sigfast. Balli risti.,Björn och Gärdar läto resa denna sten efter sina bröder Viking och Sigfast. Balle ristade.,59.3693,17.19587,"pr3,pr4,pr5","Balle,Balle",,1050,1066,0
Södermanlands runinskrifter 204,29853934,§P : hier : skal : stenta : stei(n) ...kia(l)t : runi... ... (u)arfaitr : (i)(f)tiR : faþurs:broþur · sen · §Q : hier : skal : stenta : stei(n) ... ...kia(l)t : run(u)... ... ... (u)arfaitr : (i)(f)tiR : faþurs:broþur · sen ·,"§P Her skal standa stæinn &lt;...kialt&gt; &lt;runi...&gt; ... Varfæitr() æftiR faðursbroður senn. §Q Her skal standa stæinn [at In]giald, runu[m ruðinn, ræisti] Varrfæitr æftiR faðursbroður senn.",Här skall stå sten . . . [reste] '''uarfaitr''' efter sin farbroder.,59.41898,17.13121,pr4,Äsbjörn  [Källström 1997],runsten,793,1066,0
Södermanlands runinskrifter 205,56054102,[ikialr : auk : uisti ·  stainulfr · þaiʀ · raistu · s]tain · at · karl · faþ[ur · sin · auk · kilaum · at · boan]ta · sin · auk · ika · at · sun · si[n ·] (a)uk · irnkaiʀ · at · b[roþur · s(i)n · esbern · auk · tiþkumi · hiuku · runiʀ · arikaa : stkink ·],"Ingialdr ok Viseti [ok] Stæinulfʀ þæiʀ ræistu stæin at Karl, faður sinn, ok Gillaug at boanda sinn ok Inga at sun sinn ok Ærngæiʀʀ at broður sinn. Æsbærn ok Tiðkumi hioggu runiʀ. Orøkia() stæindi().","Ingjald och Visäte och Stenulv, de reste stenen efter Karl, sin fader, och Gillög efter sin make och Inga efter sin son och Arnger efter sin broder. Asbjörn och Tidkume höggo runorna. (Orökja målade.)",59.41912,17.13087,pr4,Tidkume  och Äsbjörn 1  och Orökja 1,runstensfragment,793,1066,0
Södermanlands runinskrifter 206,29855057,: hir : skal : stenta : staena : þisiR : runum : ru-niR :·· raisti : k---auk : at syni : sina : auk : hielmlauk : at bryþr : sina ·,"Her skal standa stæinaR þessiR, runum ru[ð]niR, ræisti G[uðl]aug at syni sina, ok Hialmlaug at brøðr sina.","Här ska stånda stenarna dessa, röda av runor, reste dem Gudlög efter sina söner, och Hjälmlög efter sina bröder.",59.41891,17.13126,pr4,Äsbjörn  [Källström 1997],runsten,793,1066,0
Södermanlands runinskrifter 207,56054092,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð... ... faður sinn. For hæfila hann til Ænglands. Guð hialpi sal hans.,Gudr- .... sin fader. Han for manligen till Englandsstenarna|England. Gud hjälpe hans själ!,59.41903,17.13084,Fp,"Samma som gjort Södermanlands runinskrifter 198,Sö 198, Södermanlands runinskrifter 200,Sö 200, Upplands runinskrifter 792,U 792. Balle",runsten,793,1066,0
Södermanlands runinskrifter 208,29858995,: kuþlauk · auk : hielmlaug : þaR : ----(u) · raistu : ... ...ern : auk : at : þorstain :: boanta : koþan : buki : i frayslutum : arfi : fu(l)... ... sum iR : sustursun inibrataR :,"Guðlaug ok Hialmlaug þaR ... ræistu ... ...[b]ærn ok at Þorstæin, boanda goðan, byggi i Frøyslundum, arfi Full[uga], ... sum eR systursunn ÆnnibrantaR.","Gudlög och Hjälmlög .... de reste . . . [-b]ärn och efter Torsten, en god bonde, som bodde i Fröslunda, Full[uges] arvinge, .... som är Ännebrants systerson.",59.41892,17.13137,"pr3,pr4",Äsbjörn  [Källström 1997],runsten,793,1066,0
Södermanlands runinskrifter 210,54595348,' uarasi ' lit ' risa ' stan ' þina ' a(t) ' [ulmk]a[ʀ ' brþur '] sen ' kuþ ' (h)----- --- [' ha]ns · betr · þan · han · kuni · til · kerua · bali · risti [(r)(u)](n)iʀ þisaʀ ×,"Var-Asi()/Varr-Asi() let ræisa stæin þenna at Holmgæiʀ, broður senn. Guð h[ialpi sal] hans bætr þæn hann kunni til gærva. Balli risti runiʀ þessaʀ.","Var-Åse () lät resa denna sten efter Holmger, sin broder. Gud hjälpe hans själ bättre än han förtjänade. Balle ristade dessa runor.",59.41129,17.148,"pr1,pr2","Balle,Balle",,1030,1066,0
Södermanlands runinskrifter 211,29898638,stinulfR + auk × ha(k)- --- × þ[ur]RikR + auk × aubiarn × auk × uflati × þaiR : raistu × sta-- [þa]si : at × ulf × faþur + sin,"StæinulfR ok Hak[i ok] ÞryRikR/ÞryðrikR ok Øybiorn/Auðbiorn ok Oflati, þæiR ræistu stæ[in] þennsi at Ulf, faður sinn.","Stenulv och Hake och Tryrik och Öbjörn och Ovlate, de reste denna sten efter Ulv, sin fader.",59.40421,17.18007,Fp,Äskil 1,runsten,793,1066,0
Södermanlands runinskrifter 212,55177745,' suain ' let ' ra-- ' -t-n ' þina · at · fasta ' brouþur ' sen ' kuþ ' hielbi ' sal ' hans ' betr ' þan ' (h)an ' kuni ' til ' gerua,"Svæinn let ræ[isa s]t[æi]n þenna at Fasta, broður senn. Guð hialpi sal hans bætr þæn hann kunni til gærva.","Sven lät resa denna sten efter Faste, sin broder. Gud hjälpe hans själ bättre än han kunde göra därtill (d. v. s. än han kunde förtjäna).",59.38514,17.17323,Fp,Balle,,793,1066,0
Södermanlands runinskrifter 213,29898842,s͡tain : hiuk : esbern : stintn : at : uitum : bat miþ : runum : raisti : kyla : at : gaiʀbern : boanta : sin :· auk · kofriþ : at : faþur : sin : han uaʀ : boanti : bestr i : kili : raþi : saʀ : kuni :,"Stæin hiogg Æsbærn, stæindan at vitum, bant með runum, ræisti Gylla at Gæiʀbærn, boanda sinn, ok Guðfriðr at faður sinn. Hann vaʀ boandi bæztr i Kili. ʀaði saʀ kunni.","Stenen högg Äsbjörn, målad till minnesmärke, han band den med runor, Gylla den reste efter Gerbjörn sin make, och Gudfrid efter sin fader. Han var den bäste bonde i Kil. Tyde den som kan.",0.0,0.0,,,,0,1500,0
Södermanlands runinskrifter 214,47219627,· suin · let · ra[is]a · s(t)ain · þina · at · uikaiʀ · faþur · sen · koþan · b[yki&#124; &#124;i · a]rby · bali · risti ·,"Svæinn let ræisa stæin þenna at Vigæiʀ, faður senn goðan, byggi i Arby. Balli risti.","Sven lät resa denna sten efter Viger, sin gode fader (som) bodde i Årby. Balle ristade.",59.39877,17.17812,Fp,"Balle,Balle",runsten,793,1066,0
Södermanlands runinskrifter 217,55353145,+ suertikr : nuk + kari : auk : kuþmutr : auk : skari : auk : knutr : raistu : stain : þena : aftiR : utruk · faþur : sin : is fel · i liþi : kuþuis +,"SværtingR ok Kari ok Guðmundr ok Skari ok Knutr ræistu stæin þenna æftiR Otrygg, faður sinn, es fell i liði Guðvis.","Svärting och Kåre och Gudmund och Skåre och Knut reste denna sten efter Otrygg, sin fader, som föll i Gudves följe.",58.0,59.0,,Amunde,,1000,1099,0
Södermanlands runinskrifter 218,55353147,× hulmkaiʀ × auk × s(t)ainbiar- -ai- ---u × h--ua × (i)(f)tiʀ × k(u)þ(l)(i)f × fa-u-,"Holmgæiʀʀ ok Stæinbiar[n þ]æi[ʀ let]u h[agg]va æftiʀ Guðlæif, fa[ð]u[r].","Holmger och Stenbjörn de läto hugga (runorna) efter Gudlev, (sin) fader.",59.0,2.0,,,,1000,1099,0
Södermanlands runinskrifter 221,55353151,× st-infastr × lit × hakua × mirki × þita × eftiR × saimut × faþur × sin -uþ hialbi,"St[æ]infastr let haggva mærki þetta æftiR Sæmund, faður sinn. [G]uð hialpi.","Stenfast lät hugga detta märke efter Sämund, sin fader. Gud hjälpe.",58.0,59.0,,Hägvid,,1000,1099,0
Södermanlands runinskrifter 223,47479280,[...al... · faþiʀ : at · sun : runa(ʀ) ...],... faðiʀ at sun runaʀ ...,...fadern efter sonen runor...,59.043547,17.807333,,,,1000,1099,0
Södermanlands runinskrifter 224,50587328,: ragi : auk : sagsi : auk : tutr : r(a)(i)stu : stain : þinsa : at : fasta : faþur : sin,"Raggi ok Saxi ok Dyntr() ræistu stæin þennsa at Fasta, faður sinn.","Ragge och Saxe och Dynt reste denna sten efter Faste, sin fader.",59.0,3.0,,,,1000,1099,0
Södermanlands runinskrifter 226,42898325,+ biairn + auk + uibiarn × auk : hrafni + auk + ketilbiarn + r---(t)(u) × (s)[t]ain : at + kairbirn faþur -...,"Biarn ok Vibiarn ok Hrafni ok Kætilbiarn r[æis]tu stæin at GæiRbiarn, faður [sinn].","Björn och Vibjörn och Ramne och Kättilbjörn reste stenen efter Gerbjörn, (sin) fader.",0.0,0.0,,Amunde,,1000,1099,0
Södermanlands runinskrifter 229,51719334,· katil:biarn : auk : þorbiarn : auk : þorkatil · auk : farmaþr : auk : suain · raistu stain : at · ikulbiaurn · faþur : sin +,"Kætilbiorn ok Þorbiorn ok Þorkætill ok Farmaðr ok Svæinn ræistu stæin at Igulbiorn, faður sinn.","Kättilbjörn och Torbjörn och Torkel och Farman och Sven reste stenen efter Igulbjörn, sin fader.",59.0,0.0,,Amunde,,793,1066,0
Södermanlands runinskrifter 236,42120478,a-s(k)(u)ltr × auk + stineltr × litu × resa × stin × eftiR + s(t)en(b)i(a)rna × kuþan,"Hoskuldr() ok Stæinhildr letu ræisa stæin æftiR Stæinbiarna, goðan.","Hoskuld () och Stenhild läto resa stenen efter Stenbjörn, (sin) gode (son).",0.0,0.0,,,,793,1066,0
Södermanlands runinskrifter 237,42123979,: þauriʀ : auk : þiahkn : litu : raiso : stain : þina : aftir :: fastbiaurn : faþur : þiahkn : auk : onut : sun : sin,"Þoriʀ ok Þiagn letu ræisa stæin þenna æftiʀ Fastbiorn, faður Þiagns, ok Anund, sun sinn.","Tove och Tägn läto resa denna sten efter Fastbjörn, Tägns fader och (Tove efter) Anund sin son",59.10242,18.11544,"pr2,pr3","Halvdan,Halvdan",,793,1066,0
Södermanlands runinskrifter 238,43869441,[(n)...i...iukaʀ : auk : biorn : auk : farulfi : þiʀ : litu : risa : stan : aftiʀ · aka : faþur : sin · hat : uaʀ : uskul · þik : þʀa ·],"'''''n...i...iukaʀ''''' ok Biorn ok Farulfʀ þæiʀ letu ræisa stæin æftiʀ Aka, faður sinn. Hann vaʀ '''''uskul''''' '''''þik''''' '''''þʀa'''''.","...och Björn och Farulv de läto resa stenen efter Åke, sin fader. Han var...",59.10253,18.11679,,Björn 2 eller -björn,,793,1066,0
Södermanlands runinskrifter 241,55712297,uik-l(s) : a-- kiʀhimʀ : litu : ri(s)- stin : iftiʀ : burþur sen : kuþbiarn : --biarn : hiuk : stin,Vig[i]ls o[k] Gæiʀhialmʀ letu ræis[a] stæin æftiʀ broður senn Guðbiorn. ...biorn hiogg stæin.,"Vigils och Gerhjälm läto resa sten efter broder sin, Gudbjörn. ...björn högg stenen.",59.11486,18.03803,Fp,Björn 2 eller -björn,runsten,793,1066,0
Södermanlands runinskrifter 242,47586826,+ auþa + raisti + stain : at : haralt · buata · sin : auk · fastlauk · at + faþur sin,"Auða ræisti stæin at Harald, boanda sinn, ok Fastlaug at faður sinn.","Öda reste stenen efter Harald, sin make, och Fastlög efter sin fader.",0.0,0.0,,,,1000,1099,0
Södermanlands runinskrifter 244,51675433,+ kuþbiarn : rest : nt ...þ...i...u ¶ fi-fþr---...is-na : uikskr : ru : rubr,Guðbiorn ræisti/ræist .../at() ... ... '''''uikskr''''' '''''ru''''' '''''rubr'''''.,Gudbjörn reste...,59.11443,18.06159,pr2,"Halvdan,Halvdan",runsten,793,1066,0
Södermanlands runinskrifter 245,43130910,...ul : ma- : san : (b)-...,,,59.09562,18.03631,pr3,"Halvdan,Halvdan",runsten,793,1066,0
Södermanlands runinskrifter 252,55999649,× u... ... ... ... ...(i)sa × au(k) [×] raisa × stain × iftiʀ × toka × broþur × sin · ku +,"... [let gæra bro þ]essa ok ræisa stæin æftiʀ Toka, broður sinn goðan.","... [lät göra] denna [bro] och resa stenen efter Toke, sin gode broder.",58.96579,17.86268,,Halvdan,,793,1066,0
Södermanlands runinskrifter 253,55876335,[kitilfast- × auk × ranfastr × auk × sigfastr × litu × kiara × mirki × at × þork-... faþur sin],"Kætilfast[r] ok ʀagnfastr ok Sigfastr letu gærva mærki at Þork.../Þorg..., faður sinn.","Kättilfast och Ragnfast och Sigfast lät göra minnesmärket efter Tor-..., sin fader.",58.97148,17.87411,,,,793,1066,0
Södermanlands runinskrifter 255,55948883,× ubi × li- × hakua × merki : þisa : iftiʀ : aibiarn · broþur : sin : kuþ : hilbi ×,"Ubbi le[t] haggva mærki þessa æftiʀ Æibiorn, broður sinn. Guð hialpi!",Ubbe lät hugga dessa märken efter Ebjörn. sin broder. Gud hjälpe.,58.94943,17.92454,,Hägvid,,793,1066,0
Södermanlands runinskrifter 257,56076689,[kynuar · lit × r...t... ---s-a eftiʀ × alfkit × -oru-ur · sua ...],"Gunnvar() let ... ... æftiʀ Alfkætil, [b]ro[ð]ur sun ...","Gunnvar lät ... efter Alvkell, [sin] brorson.",58.95943,17.88997,,,,793,1066,0
Södermanlands runinskrifter 260,43612363,... ... ...a : stin : eftiʀ : ierunt : sun : sia : aʀ · uaʀ : uestþr : meþ ulfi : suni · hakunar ·,"... ... [ræis]a stæin æftiʀ Iarund, sun sinn, eʀ vaʀ vestr með Ulfi, syni Hakonaʀ.","... (reste) denna sten efter Jörund, sin son, som var västerut med Ulf, Håkons son.",59.11217,18.1684,,"Lista över #B,Björn 2 eller -björn",,793,1066,0
Södermanlands runinskrifter 262,50373830,× suain × lit × risa × stin ... ... faþur × sin × kuþan × auk × iftiR × kuþfar ·,Svæinn let ræisa stæin ... ... faður sinn goðan ok æftiR Guðvar/Guðmar/Guðvar.,Sven lät resa stenen... sin gode fader och efter Gudvar.,0.0,0.0,,,,0,1500,0
Södermanlands runinskrifter 263,47255351,[kulauk + auk koþlauk · raistu · stain · at · auit · faþur s-n +],"Gullaug ok Guðlaug ræistu stæin at Øyvind, faður s[i]nn.","Gunnlög och Gudlög reste stenen efter Öjvind, sin fader.",59.11713,18.16874,Fp,,,793,1066,0
Södermanlands runinskrifter 264,48791667,f : ¶ rn : ¶ aþ : ¶ ii ÷,Biǫrn faði,Björn [till] fader eller Björn ristade,59.13306,18.15736,,,,793,1066,0
Södermanlands runinskrifter 265,54689711,ka-i · raisti · stain : at : osur : sun : sin : auk : at : ulf,"Ga[s]i() ræisti stæin at Assur, sun sinn, ok at Ulf.","(Gåse) reste stenen efter Assur, sin son, och efter Ulf.",59.14369,18.20645,Fp,Åsbjörn,runsten,793,1066,0
Södermanlands runinskrifter 266,55177748,+ iaurun : lit : raisa : stain : at · ontuit : sun : sin : auk · at · onunt·ar + osbiarn,"Iorunn let ræisa stæin at Andvett, sun sinn, ok at Anundaʀ. Asbiorn.","Jorunn lät resa stenen efter Andvätt, sin son, och (efter) Anunds. Asbjörn (ristade).",59.13042,18.18493,Fp,Asbjörn,runsten,793,1066,0
Södermanlands runinskrifter 267,56076856,[hulfa... ...],Hol(m)fa[str] ...,Holmfast,59.15173,18.24948,,,,793,1066,0
Södermanlands runinskrifter 268,49368220,+ hialmuiþr + raisti + stain + at · þorkut + sun sn + amuti + risti + runar +,"Hialmviðr ræisti stæin at Þorgaut, sun sinn. Amundi risti runaʀ.","Hjälmvid reste stenen efter Torgöt, sin son. Amunde ristade runorna.",59.18287,18.15556,pr1,"Lista över #A,Amunde",,793,1066,0
Södermanlands runinskrifter 269,54578063,+ out[r] ... ...[ut]r + raiistu + -[t](i)n + þina + at + uikika + faþur + s[in] sun stura +,"Anundr()/Øyndr() ... ...undr() ræistu [s]tæin þenna at Viking, faður sinn, sun Stora.","Anund... reste denna sten efter Vikinge, sin fader, Stores son",59.0,10.0,,"Halvdan,Halvdan",,793,1066,0
Södermanlands runinskrifter 270,49323210,far(e)biarn : lit : hagua : stain : et : haulf : sun · si- : hal(t)an : hiak : runa,"Farbiorn/Frøybiorn let haggva stæin at Haulf, sun si[nn]. Halfdan hiogg runaʀ.","Farbjörn lät hugga stenen efter Håulv, sin son. Halvdan högg runorna",59.0,10.0,,"Halvdan,Halvdan",,1000,1099,0
Södermanlands runinskrifter 271,49371584,[× halstain + raisti + stain + at + þialfa + faþur + sin + amuti + hiok +],"Hallstæinn ræisti stæin at Þialfa, faður sinn. Amundi hiogg.","Hallsten reste stenen efter Tjälve, sin fader. Amunde högg.",59.1917,18.1499,Fp,Amunde,,793,1066,0
Södermanlands runinskrifter 272,49377552,·· þurfa(s)tr · let · rai-- · s-aen · þena · aftiʀ · halftan · suna · s-n ··,"Þorfastr let ræi[sa] s[t]æin þenna æftiʀ Halfdan, sun/Suna s[i]nn/s[u]n.","Torfast lät resa denna sten efter Halvdan, sin son",59.0,11.0,,Halvdan:,,1000,1099,0
Södermanlands runinskrifter 273,47834914,+ sikni(u)- + raisti + stai- -t + siʀ͡uþr + faþur sin + siba --(o)þur,"Signiu[tr] ræisti stæi[n a]t Sigrøðr, faður sinn, Sibba [br]oður.","Signjut reste stenen efter Sigröd, sin fader, Sibbes broder.",59.0,7.0,,Amunde,,1000,1099,0
Södermanlands runinskrifter 277,55883353,u--r : auk : inki:burk : (l)itu : ra... ... ...- : ...a at · uerþr · iki : inkuars : ma... ...,... ok Ingiborg letu ræ[isa] ... ... ... '''''at''''' verðr ængi Ingvars ma[nna] ...,[aim]u[nt]r och Ingeborg läto resa ... blir ingen Ingvars like.... Ingeborg läto resa ... blir icke någon av Ingvars män ...,59.37563,17.03377,,,,1000,1099,0
Södermanlands runinskrifter 280,55885670,...nbiur · auk þau · ut---uk · (m)uþkni · litu · aukua · sti(n) · þna · iftiʀ · ulfrik · auk · þa · þ--a · faþka auk · -au(a) · sun · utrlaukar,"...biorn ok þau Und[rla]ug møðgini letu haggva stæin þenna æftiʀ Ulfrik ok þa ... fæðga ok '''''-auạ''''', sun Undrlaugaʀ.","Abjörn och Undrlaug, moder och son, lät hugga denna sten efter Ulfrik och (namn), fader och son, och efter ..., Undrlaugs son.",59.37519,17.03538,,,runsten,793,1066,0
Södermanlands runinskrifter 281,55883354,...(a)lui : lit · kira : kubl : ifti... ... burþur : ulfs · þiʀ · a(u)... ... (m)iþ · ikuari : o : sirk·la(t)...,...vi let gærva kumbl æfti[ʀ] ... broður Ulfs. Þæiʀ au[str]/au[starla] ... með Ingvari a Særkland[i].,... lät göra minnesmärket efter ... Ulvs broder. De --- österut ... med Ingvar i Särkland.,59.37554,17.03376,,,,1000,1099,0
Södermanlands runinskrifter 282,55833075,[uifastr × auk × hauk- × raist- stain × eftiʀ × naus × fa... ... ... ... ...(u)aka × broþur × þaiʀa],"Vifastr ok Hauk[ʀ] ræist[u] stæin æftiʀ '''''naus''''', fa[ður] ... ... ... ... broður þæiʀa.",Vifast och Hök reste stenen efter ... [sin] fader [och efter ...] sin broder.,59.2391,17.818,,,försvunnen runsten,793,1066,0
Södermanlands runinskrifter 287,49683435,[× antuitʀ : reisti : stin : iftiʀ : huka : bruþur sin eʀ : uar : tauþe(r) : miþ : ink... ...k : iftir : þurkils bruþur : kuþan biarlaukr : irfi : lit : reisa : iftir : biaþr : sin],"Andvettr ræisti stæin æftiʀ Huga, broður sinn, eʀ vaʀ dauðr með Ing[vari, o]k æftiʀ Þorgils, broður goðan. Biarnlaugr ærfi() let ræisa æftiʀ faður() sinn.","Andvett reste stenen efter Huge,sin broder, som blev död med Ingvar och efter Torgils (sin) godebroder. Björnlög, arvingen (), lät resa (stenen) efter sin fader().",59.25293,17.80049,,,försvunnen runsten,793,1066,0
Södermanlands runinskrifter 288,55440001,sibi auk · iurun auk · þurkun · auk inkikirþr · þau : sustkyn ---(u) raisa · stain · þinsa · ibtiʀ · tia faþur sin auk&#124; &#124;kuþ(m)uþ · at bunta sin kuþ hialbi sial hans ·,"Sibbi ok Iorun ok Þorgunn ok Ingigærðr þau systkyn [let]u ræisa stæin þennsa æftiʀ Tiarva()/Diarf(), faður sinn, ok Guðmoð at bonda sinn. Guð hialpi sial hans.",Sibbe och Jorun och Torgun och Ingegärd de syskonen läto resa denna sten efter Tjarve sin fader och Gudmod efter sin make. Gud hjälpe själ hans.,59.22186,17.83191,pr2,,Runsten,793,1066,0
Södermanlands runinskrifter 290,55892123,+ þuriʀ + auk + suaen + litu + raisa + stain + at + uinut + baurþur + sen + sun · hlku ·,"Þoriʀ ok Svæinn letu ræisa stæin at Viniut, broður senn, sun Hælgu.","Tore och Sven lät resa stenen åt Vinut, sin broder, Helgas son.",59.238612,18.083972,"pr2,pr3","Halvdan,Halvdan",runsten,793,1066,0
Södermanlands runinskrifter 296,55353155,× oskautrʀ : raisti : stain : þinsi : aftiʀ · airnfast : mu...[uþur sin : sun · kuþi(k)]s : uk · aftiʀ : ulafu kunu : sina : kairþi : oskutr : kuml : þausi +,"Asgautr ræisti stæin þennsi æftiʀ Ærnfast, mo[ðurbr]oður sinn, sun Gyðings, ok æftiʀ Olofu, kunu sina. Gærði Asgautr kumbl þausi.","Åsgöt reste denna sten efter Ärnfast, sin morbroder, Gydings son; och efter Olov, sin hustru, gjorde Åsgöt detta minnesmärke.",59.16625,17.74245,Fp,"Åsgöt , Amunde",runsten,793,1066,0
Södermanlands runinskrifter 298,55440002,× haur + nuk + karl + auk + sihia--r + auk + uihialmr + auk + kare + (l)--- -aisa + stain + þina + aftʀ + uihmar + faþr + sin +,"Haurr ok Karl ok Sighia[lm]ʀ ok Vihialmʀ/Vighialmʀ ok Kari l[etu r]æisa stæin þenna æftiʀ Vigmar, faður sinn.",Håur()och Karl och Sighjälm och Vihjälm och Kåre läto resa denna sten efter Vigmar sin fader.,59.12793,17.91299,pr3,"Halvdan,Halvdan",runsten,1020,1050,0
Södermanlands runinskrifter 300,55177752,suerkiʀ : lit : boro : kiera : eftiʀ · erinkuni · moþur koþa,"Sværkiʀ let bro gæra æftiʀ Æringunni, moður goða.","Sverker lät göra bron efter Ärengunn, (sin) /goda/ moder.",0.0,0.0,,,,1000,1099,0
Södermanlands runinskrifter 301,55440003,·· þuri[ʀ : auk] ...(u)i... ... [: s]taean ...f-- : o...-a : faþr ... ··,Þoriʀ ok [S]væi[nn] ... stæin ... ... faður ...,Tore och Sven()... sten ... fader,59.22913,18.073,"pr2,pr3","Halvdan,Halvdan",runstensfragment,793,1066,0
Södermanlands runinskrifter 302,29898942,a:ustain · lit · raisa · stain · at · þurkirþi · sistur · sina · hilbiarn at · moþur · sina,"Øystæinn let ræisa stæin at Þorgærði, systur sina, Hallbiorn at moður sina.","Östen lät resa sten efter Torgärd, sin syster, Hallbjörn efter sin moder.",0.0,0.0,,,,0,1500,0
Södermanlands runinskrifter 303,29899997,kuþlauh : -et raisa ... ...(i)ʀ : þurhaʀ : uk frusta : su(n)... (s)ino : uk ainiutr : at : stiub sin,"Guðlaug [l]et ræisa [stæin æft]iʀ Þorgæiʀ ok Frosta, syn[i] sina ok Æiniutr at stiup sinn.",Gudlög lät resa (stenen efte)r Torger och Froste sina söner och Enjutr efter sin styvson,0.0,0.0,,,,0,1500,0
Södermanlands runinskrifter 304,17505946,× kuti ×× lit × raisa + [st]ain + þinsa × eftiʀ + urukiu + sun + sin +,"Guti let ræisa stæin þennsa æftiʀ Orøkiu, sun sinn.","Gute lät resa denna sten efter Orökja, sin son",0.0,0.0,,,,0,1500,0
Södermanlands runinskrifter 306,55440004,...[rn :] auk · fasti : raist͡u st[a]in ·· at · k(i)(l)beaurn : faþ(u)r : si(n) : [buata : þo]r[·kiai]rþ[i ··],"[Bio]rn ok Fasti ræistu stæin at Kætilbiorn(), faður sinn, boanda Þorgærðaʀ.","Björn och Faste reste stenen efter Kättilbjörn, sin fader, Torgärds make.",59.0,13.0,,,,1000,1099,0
